Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
new;Open created project;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Open installed project;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete project with objects created;2016-07-18;0;;"";0;HomePage;"";"";""
"";Step Id;Action;Result
"";new;"<p>&nbsp;Click 'X' on right top coner of a project profile.</p>";"<p>&nbsp;A pop-up window shows up to prompt confirmation.</p>"
"";new;"<p>&nbsp;Click 'Delete'.</p>";"<p>&nbsp;Project will be deleted and splunk will forcely restart.&nbsp;</p>"
"";new;"<p>&nbsp;Check project list on UI.</p>";"<p>&nbsp;The project is removed.</p>"
"";new;"<p>&nbsp;Check backend conf and related files.</p>";"<p>&nbsp;Related files is removed.</p>"
new;Rotate temp files;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Project status progress;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;"Create a add-on";"Dummy result"
"";new;"Click on Next until to the sourcetype page";"Dummy result"
"";new;"Add a few sourcetype";"Dummy result"
"";new;"Click on Home click to go back landing page";"Dummy result"
"";new;"The progress is not updated, still 20%.";"Dummy result"
"";new;"The data collection and sourcetype icon is in-grey, although configured previously.";"Dummy result"
new;Navigate by step icon;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;"Enter Add-on Builder.";"Dummy result"
"";new;"Click on the text of left panel icon, such as ' Field Extraction'";"Dummy result"
new;Check prompt infomation dialog;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;"User with no ""admin"" power is able to create ta and run validation";2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Blank home page when splunkd port is not 8089;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;"Dummy action";"Dummy result"
new;Check restart procedure;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Splunk platform compatibility;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Browser compatibility;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check permission;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Backward compatibility;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Cluster environment compatibility;2016-07-18;0;;"";0;Misc;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Exclusive project name;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check project name generating rules;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;"Dummy action";"Dummy result"
new;Project name validation;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Rename addon;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Create common project info;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Edit common project info;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check visible checkbox;2016-07-18;0;;"";0;NameAddon;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
